dispatching_zone_id,zone_tier,date,month,day_of_week,is_weekend,active_vehicles,trips,trips_per_vehicle,event_label,daily_multiplier
Z08_Ghaziabad,low,2023-01-08,1,Sunday,1,372,2474,6.65,normal,0.9617
Z01_CP_NewDelhi,mega,2023-01-09,1,Monday,0,3348,26694,7.97,normal,0.8594
Z02_Gurugram_Cyber,mega,2023-01-09,1,Monday,0,2799,21391,7.64,normal,0.8594
Z03_Noida_Sector18,high,2023-01-09,1,Monday,0,1663,12075,7.26,normal,0.8594
Z04_Dwarka_Airport,high,2023-01-09,1,Monday,0,1336,10996,8.23,normal,0.8594
Z05_Lajpat_SouthDelhi,medium,2023-01-09,1,Monday,0,862,8451,9.8,normal,0.8594
Z06_Rohini_NorthWest,medium,2023-01-09,1,Monday,0,694,5702,8.22,normal,0.8594
Z07_Faridabad,low,2023-01-09,1,Monday,0,364,2590,7.12,normal,0.8594
Z08_Ghaziabad,low,2023-01-09,1,Monday,0,317,2426,7.65,normal,0.8594
Z01_CP_NewDelhi,mega,2023-01-10,1,Tuesday,0,3396,31007,9.13,normal,0.8785
Z02_Gurugram_Cyber,mega,2023-01-10,1,Tuesday,0,2967,29822,10.05,normal,0.8785
Z03_Noida_Sector18,high,2023-01-10,1,Tuesday,0,1627,15289,9.4,normal,0.8785
Z04_Dwarka_Airport,high,2023-01-10,1,Tuesday,0,1349,11036,8.18,normal,0.8785
Z05_Lajpat_SouthDelhi,medium,2023-01-10,1,Tuesday,0,878,7472,8.51,normal,0.8785
Z06_Rohini_NorthWest,medium,2023-01-10,1,Tuesday,0,694,8089,11.66,normal,0.8785
Z07_Faridabad,low,2023-01-10,1,Tuesday,0,353,3614,10.24,normal,0.8785
Z08_Ghaziabad,low,2023-01-10,1,Tuesday,0,341,3037,8.91,normal,0.8785
Z01_CP_NewDelhi,mega,2023-01-11,1,Wednesday,0,2079,21165,10.18,Delhi_Winter_Fog_Moderate,0.5565
Z02_Gurugram_Cyber,mega,2023-01-11,1,Wednesday,0,1859,15648,8.42,Delhi_Winter_Fog_Moderate,0.5565
Z03_Noida_Sector18,high,2023-01-11,1,Wednesday,0,1058,11142,10.53,Delhi_Winter_Fog_Moderate,0.5565
Z04_Dwarka_Airport,high,2023-01-11,1,Wednesday,0,912,8219,9.01,Delhi_Winter_Fog_Moderate,0.5565
Z05_Lajpat_SouthDelhi,medium,2023-01-11,1,Wednesday,0,553,3616,6.54,Delhi_Winter_Fog_Moderate,0.5565
Z06_Rohini_NorthWest,medium,2023-01-11,1,Wednesday,0,438,2661,6.08,Delhi_Winter_Fog_Moderate,0.5565
Z07_Faridabad,low,2023-01-11,1,Wednesday,0,232,1500,6.47,Delhi_Winter_Fog_Moderate,0.5565
Z08_Ghaziabad,low,2023-01-11,1,Wednesday,0,199,1612,8.1,Delhi_Winter_Fog_Moderate,0.5565
Z01_CP_NewDelhi,mega,2023-01-12,1,Thursday,0,3581,26718,7.46,normal,0.9074
Z02_Gurugram_Cyber,mega,2023-01-12,1,Thursday,0,2997,22890,7.64,normal,0.9074
Z03_Noida_Sector18,high,2023-01-12,1,Thursday,0,1749,20427,11.68,normal,0.9074
Z04_Dwarka_Airport,high,2023-01-12,1,Thursday,0,1491,17491,11.73,normal,0.9074
Z05_Lajpat_SouthDelhi,medium,2023-01-12,1,Thursday,0,863,8034,9.31,normal,0.9074
Z06_Rohini_NorthWest,medium,2023-01-12,1,Thursday,0,702,4979,7.09,normal,0.9074
Z07_Faridabad,low,2023-01-12,1,Thursday,0,359,2541,7.08,normal,0.9074
Z08_Ghaziabad,low,2023-01-12,1,Thursday,0,330,3289,9.97,normal,0.9074
Z01_CP_NewDelhi,mega,2023-01-13,1,Friday,0,3863,35579,9.21,normal,1.0108
Z02_Gurugram_Cyber,mega,2023-01-13,1,Friday,0,3411,35803,10.5,normal,1.0108
Z03_Noida_Sector18,high,2023-01-13,1,Friday,0,1933,12679,6.56,normal,1.0108
Z04_Dwarka_Airport,high,2023-01-13,1,Friday,0,1589,17899,11.26,normal,1.0108
Z05_Lajpat_SouthDelhi,medium,2023-01-13,1,Friday,0,904,6829,7.55,normal,1.0108
Z06_Rohini_NorthWest,medium,2023-01-13,1,Friday,0,787,8412,10.69,normal,1.0108
Z07_Faridabad,low,2023-01-13,1,Friday,0,407,2542,6.25,normal,1.0108
Z08_Ghaziabad,low,2023-01-13,1,Friday,0,390,2460,6.31,normal,1.0108
Z01_CP_NewDelhi,mega,2023-01-14,1,Saturday,1,4135,37964,9.18,normal,1.105
Z02_Gurugram_Cyber,mega,2023-01-14,1,Saturday,1,3603,38028,10.55,normal,1.105
Z03_Noida_Sector18,high,2023-01-14,1,Saturday,1,1991,16721,8.4,normal,1.105
Z04_Dwarka_Airport,high,2023-01-14,1,Saturday,1,1861,16195,8.7,normal,1.105
Z05_Lajpat_SouthDelhi,medium,2023-01-14,1,Saturday,1,1035,8106,7.83,normal,1.105
Z06_Rohini_NorthWest,medium,2023-01-14,1,Saturday,1,907,9779,10.78,normal,1.105
Z07_Faridabad,low,2023-01-14,1,Saturday,1,489,3730,7.63,normal,1.105
Z08_Ghaziabad,low,2023-01-14,1,Saturday,1,437,3458,7.91,normal,1.105
Z01_CP_NewDelhi,mega,2023-01-15,1,Sunday,1,3805,30662,8.06,normal,0.965
Z02_Gurugram_Cyber,mega,2023-01-15,1,Sunday,1,3135,27220,8.68,normal,0.965
Z03_Noida_Sector18,high,2023-01-15,1,Sunday,1,1885,13656,7.24,normal,0.965
Z04_Dwarka_Airport,high,2023-01-15,1,Sunday,1,1590,16119,10.14,normal,0.965
Z05_Lajpat_SouthDelhi,medium,2023-01-15,1,Sunday,1,970,6504,6.71,normal,0.965
Z06_Rohini_NorthWest,medium,2023-01-15,1,Sunday,1,738,5639,7.64,normal,0.965
Z07_Faridabad,low,2023-01-15,1,Sunday,1,422,4596,10.89,normal,0.965
Z08_Ghaziabad,low,2023-01-15,1,Sunday,1,349,3006,8.61,normal,0.965
Z01_CP_NewDelhi,mega,2023-01-16,1,Monday,0,3278,27846,8.49,normal,0.8624
Z02_Gurugram_Cyber,mega,2023-01-16,1,Monday,0,2722,23670,8.7,normal,0.8624
Z03_Noida_Sector18,high,2023-01-16,1,Monday,0,1718,15308,8.91,normal,0.8624
Z04_Dwarka_Airport,high,2023-01-16,1,Monday,0,1454,11455,7.88,normal,0.8624
Z05_Lajpat_SouthDelhi,medium,2023-01-16,1,Monday,0,832,5101,6.13,normal,0.8624
Z06_Rohini_NorthWest,medium,2023-01-16,1,Monday,0,686,5738,8.36,normal,0.8624
Z07_Faridabad,low,2023-01-16,1,Monday,0,374,2893,7.74,normal,0.8624
Z08_Ghaziabad,low,2023-01-16,1,Monday,0,325,2973,9.15,normal,0.8624
Z01_CP_NewDelhi,mega,2023-01-17,1,Tuesday,0,3289,27955,8.5,normal,0.8815
Z02_Gurugram_Cyber,mega,2023-01-17,1,Tuesday,0,2680,28238,10.54,normal,0.8815
Z03_Noida_Sector18,high,2023-01-17,1,Tuesday,0,1589,13352,8.4,normal,0.8815
Z04_Dwarka_Airport,high,2023-01-17,1,Tuesday,0,1340,14038,10.48,normal,0.8815
Z05_Lajpat_SouthDelhi,medium,2023-01-17,1,Tuesday,0,824,8874,10.77,normal,0.8815
Z06_Rohini_NorthWest,medium,2023-01-17,1,Tuesday,0,727,6055,8.33,normal,0.8815
Z07_Faridabad,low,2023-01-17,1,Tuesday,0,364,2383,6.55,normal,0.8815
Z08_Ghaziabad,low,2023-01-17,1,Tuesday,0,319,3307,10.37,normal,0.8815
Z01_CP_NewDelhi,mega,2023-01-18,1,Wednesday,0,3222,22862,7.1,normal,0.9007
Z02_Gurugram_Cyber,mega,2023-01-18,1,Wednesday,0,2750,23908,8.69,normal,0.9007
Z03_Noida_Sector18,high,2023-01-18,1,Wednesday,0,1761,15608,8.86,normal,0.9007
Z04_Dwarka_Airport,high,2023-01-18,1,Wednesday,0,1404,12974,9.24,normal,0.9007
Z05_Lajpat_SouthDelhi,medium,2023-01-18,1,Wednesday,0,827,7798,9.43,normal,0.9007
Z06_Rohini_NorthWest,medium,2023-01-18,1,Wednesday,0,666,6516,9.78,normal,0.9007
Z07_Faridabad,low,2023-01-18,1,Wednesday,0,399,4656,11.67,normal,0.9007
Z08_Ghaziabad,low,2023-01-18,1,Wednesday,0,340,3133,9.21,normal,0.9007
Z01_CP_NewDelhi,mega,2023-01-19,1,Thursday,0,1677,14368,8.57,Delhi_Winter_Fog_Severe,0.4371
Z02_Gurugram_Cyber,mega,2023-01-19,1,Thursday,0,1361,12341,9.07,Delhi_Winter_Fog_Severe,0.4371
Z03_Noida_Sector18,high,2023-01-19,1,Thursday,0,826,7365,8.92,Delhi_Winter_Fog_Severe,0.4371
Z04_Dwarka_Airport,high,2023-01-19,1,Thursday,0,739,5131,6.94,Delhi_Winter_Fog_Severe,0.4371
Z05_Lajpat_SouthDelhi,medium,2023-01-19,1,Thursday,0,425,2802,6.59,Delhi_Winter_Fog_Severe,0.4371
Z06_Rohini_NorthWest,medium,2023-01-19,1,Thursday,0,348,2899,8.33,Delhi_Winter_Fog_Severe,0.4371
Z07_Faridabad,low,2023-01-19,1,Thursday,0,192,1773,9.23,Delhi_Winter_Fog_Severe,0.4371
Z08_Ghaziabad,low,2023-01-19,1,Thursday,0,174,1918,11.02,Delhi_Winter_Fog_Severe,0.4371
Z01_CP_NewDelhi,mega,2023-01-20,1,Friday,0,3644,32555,8.93,normal,1.0143
Z02_Gurugram_Cyber,mega,2023-01-20,1,Friday,0,3435,26074,7.59,normal,1.0143
Z03_Noida_Sector18,high,2023-01-20,1,Friday,0,1948,18542,9.52,normal,1.0143
Z04_Dwarka_Airport,high,2023-01-20,1,Friday,0,1688,14084,8.34,normal,1.0143
Z05_Lajpat_SouthDelhi,medium,2023-01-20,1,Friday,0,953,8558,8.98,normal,1.0143
Z06_Rohini_NorthWest,medium,2023-01-20,1,Friday,0,820,7606,9.28,normal,1.0143
Z07_Faridabad,low,2023-01-20,1,Friday,0,451,5068,11.24,normal,1.0143
Z08_Ghaziabad,low,2023-01-20,1,Friday,0,401,3379,8.43,normal,1.0143
Z01_CP_NewDelhi,mega,2023-01-21,1,Saturday,1,4188,29706,7.09,normal,1.1088
Z02_Gurugram_Cyber,mega,2023-01-21,1,Saturday,1,3598,31961,8.88,normal,1.1088
Z03_Noida_Sector18,high,2023-01-21,1,Saturday,1,2008,18613,9.27,normal,1.1088
Z04_Dwarka_Airport,high,2023-01-21,1,Saturday,1,1778,20853,11.73,normal,1.1088
Z05_Lajpat_SouthDelhi,medium,2023-01-21,1,Saturday,1,1059,10107,9.54,normal,1.1088
Z06_Rohini_NorthWest,medium,2023-01-21,1,Saturday,1,826,6508,7.88,normal,1.1088
Z07_Faridabad,low,2023-01-21,1,Saturday,1,479,4644,9.7,normal,1.1088
Z08_Ghaziabad,low,2023-01-21,1,Saturday,1,402,3467,8.62,normal,1.1088
Z01_CP_NewDelhi,mega,2023-01-22,1,Sunday,1,3613,22915,6.34,normal,0.9683
Z02_Gurugram_Cyber,mega,2023-01-22,1,Sunday,1,3248,32228,9.92,normal,0.9683
Z03_Noida_Sector18,high,2023-01-22,1,Sunday,1,1842,14937,8.11,normal,0.9683
Z04_Dwarka_Airport,high,2023-01-22,1,Sunday,1,1616,17791,11.01,normal,0.9683
Z05_Lajpat_SouthDelhi,medium,2023-01-22,1,Sunday,1,880,7103,8.07,normal,0.9683
Z06_Rohini_NorthWest,medium,2023-01-22,1,Sunday,1,751,7782,10.36,normal,0.9683
Z07_Faridabad,low,2023-01-22,1,Sunday,1,406,3790,9.33,normal,0.9683
Z08_Ghaziabad,low,2023-01-22,1,Sunday,1,349,2187,6.27,normal,0.9683
Z01_CP_NewDelhi,mega,2023-01-23,1,Monday,0,3141,21851,6.96,normal,0.8653
Z02_Gurugram_Cyber,mega,2023-01-23,1,Monday,0,2900,26209,9.04,normal,0.8653
Z03_Noida_Sector18,high,2023-01-23,1,Monday,0,1677,12129,7.23,normal,0.8653
Z04_Dwarka_Airport,high,2023-01-23,1,Monday,0,1329,10071,7.58,normal,0.8653
Z05_Lajpat_SouthDelhi,medium,2023-01-23,1,Monday,0,790,5210,6.59,normal,0.8653
Z06_Rohini_NorthWest,medium,2023-01-23,1,Monday,0,675,5794,8.58,normal,0.8653
Z07_Faridabad,low,2023-01-23,1,Monday,0,343,2865,8.35,normal,0.8653
Z08_Ghaziabad,low,2023-01-23,1,Monday,0,343,3698,10.78,normal,0.8653
Z01_CP_NewDelhi,mega,2023-01-24,1,Tuesday,0,3184,31822,9.99,normal,0.8845
Z02_Gurugram_Cyber,mega,2023-01-24,1,Tuesday,0,2723,19890,7.3,normal,0.8845
Z03_Noida_Sector18,high,2023-01-24,1,Tuesday,0,1654,18279,11.05,normal,0.8845
Z04_Dwarka_Airport,high,2023-01-24,1,Tuesday,0,1408,12009,8.53,normal,0.8845
Z05_Lajpat_SouthDelhi,medium,2023-01-24,1,Tuesday,0,793,8147,10.27,normal,0.8845
Z06_Rohini_NorthWest,medium,2023-01-24,1,Tuesday,0,690,5079,7.36,normal,0.8845
Z07_Faridabad,low,2023-01-24,1,Tuesday,0,353,3458,9.8,normal,0.8845
Z08_Ghaziabad,low,2023-01-24,1,Tuesday,0,326,1765,5.41,normal,0.8845
Z01_CP_NewDelhi,mega,2023-01-25,1,Wednesday,0,3236,22578,6.98,normal,0.9038
Z02_Gurugram_Cyber,mega,2023-01-25,1,Wednesday,0,2760,22955,8.32,normal,0.9038
Z03_Noida_Sector18,high,2023-01-25,1,Wednesday,0,1736,16949,9.76,normal,0.9038
Z04_Dwarka_Airport,high,2023-01-25,1,Wednesday,0,1374,12851,9.35,normal,0.9038
Z05_Lajpat_SouthDelhi,medium,2023-01-25,1,Wednesday,0,867,6396,7.38,normal,0.9038
Z06_Rohini_NorthWest,medium,2023-01-25,1,Wednesday,0,686,6937,10.11,normal,0.9038
Z07_Faridabad,low,2023-01-25,1,Wednesday,0,386,2627,6.81,normal,0.9038
Z08_Ghaziabad,low,2023-01-25,1,Wednesday,0,347,3165,9.12,normal,0.9038
Z01_CP_NewDelhi,mega,2023-01-26,1,Thursday,0,3306,24499,7.41,normal,0.9137
Z02_Gurugram_Cyber,mega,2023-01-26,1,Thursday,0,2813,20860,7.42,normal,0.9137
Z03_Noida_Sector18,high,2023-01-26,1,Thursday,0,1667,10046,6.03,normal,0.9137
Z04_Dwarka_Airport,high,2023-01-26,1,Thursday,0,1393,12719,9.13,normal,0.9137
Z05_Lajpat_SouthDelhi,medium,2023-01-26,1,Thursday,0,916,7657,8.36,normal,0.9137
Z06_Rohini_NorthWest,medium,2023-01-26,1,Thursday,0,684,6242,9.13,normal,0.9137
Z07_Faridabad,low,2023-01-26,1,Thursday,0,403,4219,10.47,normal,0.9137
Z08_Ghaziabad,low,2023-01-26,1,Thursday,0,358,3504,9.79,normal,0.9137
Z01_CP_NewDelhi,mega,2023-01-27,1,Friday,0,3785,31720,8.38,normal,1.0178
Z02_Gurugram_Cyber,mega,2023-01-27,1,Friday,0,3106,16542,5.33,normal,1.0178
Z03_Noida_Sector18,high,2023-01-27,1,Friday,0,1884,13387,7.11,normal,1.0178
Z04_Dwarka_Airport,high,2023-01-27,1,Friday,0,1634,13121,8.03,normal,1.0178
Z05_Lajpat_SouthDelhi,medium,2023-01-27,1,Friday,0,947,7632,8.06,normal,1.0178
Z06_Rohini_NorthWest,medium,2023-01-27,1,Friday,0,818,7846,9.59,normal,1.0178
Z07_Faridabad,low,2023-01-27,1,Friday,0,426,2949,6.92,normal,1.0178
Z08_Ghaziabad,low,2023-01-27,1,Friday,0,402,3190,7.94,normal,1.0178
Z01_CP_NewDelhi,mega,2023-01-28,1,Saturday,1,4037,32896,8.15,normal,1.1126
Z02_Gurugram_Cyber,mega,2023-01-28,1,Saturday,1,3374,30441,9.02,normal,1.1126
Z03_Noida_Sector18,high,2023-01-28,1,Saturday,1,2132,18867,8.85,normal,1.1126
Z04_Dwarka_Airport,high,2023-01-28,1,Saturday,1,1716,13823,8.06,normal,1.1126
Z05_Lajpat_SouthDelhi,medium,2023-01-28,1,Saturday,1,1014,9323,9.19,normal,1.1126
Z06_Rohini_NorthWest,medium,2023-01-28,1,Saturday,1,853,8936,10.48,normal,1.1126
Z07_Faridabad,low,2023-01-28,1,Saturday,1,461,3687,8.0,normal,1.1126
Z08_Ghaziabad,low,2023-01-28,1,Saturday,1,420,4057,9.66,normal,1.1126
Z01_CP_NewDelhi,mega,2023-01-29,1,Sunday,1,3801,27106,7.13,normal,0.9716
Z02_Gurugram_Cyber,mega,2023-01-29,1,Sunday,1,3065,26338,8.59,normal,0.9716
Z03_Noida_Sector18,high,2023-01-29,1,Sunday,1,1936,15667,8.09,normal,0.9716
Z04_Dwarka_Airport,high,2023-01-29,1,Sunday,1,1578,13495,8.55,normal,0.9716
Z05_Lajpat_SouthDelhi,medium,2023-01-29,1,Sunday,1,883,8099,9.17,normal,0.9716
Z06_Rohini_NorthWest,medium,2023-01-29,1,Sunday,1,793,8385,10.57,normal,0.9716
Z07_Faridabad,low,2023-01-29,1,Sunday,1,391,2948,7.54,normal,0.9716
Z08_Ghaziabad,low,2023-01-29,1,Sunday,1,348,2653,7.62,normal,0.9716
Z01_CP_NewDelhi,mega,2023-01-30,1,Monday,0,3403,29273,8.6,normal,0.8683
Z02_Gurugram_Cyber,mega,2023-01-30,1,Monday,0,2648,26884,10.15,normal,0.8683
Z03_Noida_Sector18,high,2023-01-30,1,Monday,0,1575,14712,9.34,normal,0.8683
Z04_Dwarka_Airport,high,2023-01-30,1,Monday,0,1344,11182,8.32,normal,0.8683
Z05_Lajpat_SouthDelhi,medium,2023-01-30,1,Monday,0,846,8671,10.25,normal,0.8683
Z06_Rohini_NorthWest,medium,2023-01-30,1,Monday,0,657,6182,9.41,normal,0.8683
Z07_Faridabad,low,2023-01-30,1,Monday,0,350,2986,8.53,normal,0.8683
Z08_Ghaziabad,low,2023-01-30,1,Monday,0,328,3395,10.35,normal,0.8683
Z01_CP_NewDelhi,mega,2023-01-31,1,Tuesday,0,3232,28800,8.91,normal,0.8876
Z02_Gurugram_Cyber,mega,2023-01-31,1,Tuesday,0,2675,33547,12.54,normal,0.8876
Z03_Noida_Sector18,high,2023-01-31,1,Tuesday,0,1773,20456,11.54,normal,0.8876
Z04_Dwarka_Airport,high,2023-01-31,1,Tuesday,0,1455,12467,8.57,normal,0.8876
Z05_Lajpat_SouthDelhi,medium,2023-01-31,1,Tuesday,0,850,6133,7.22,normal,0.8876
Z06_Rohini_NorthWest,medium,2023-01-31,1,Tuesday,0,728,8503,11.68,normal,0.8876
Z07_Faridabad,low,2023-01-31,1,Tuesday,0,370,4185,11.31,normal,0.8876
Z08_Ghaziabad,low,2023-01-31,1,Tuesday,0,319,2816,8.83,normal,0.8876
Z01_CP_NewDelhi,mega,2023-02-01,2,Wednesday,0,3571,36861,10.32,normal,0.9069
Z02_Gurugram_Cyber,mega,2023-02-01,2,Wednesday,0,2848,15778,5.54,normal,0.9069
Z03_Noida_Sector18,high,2023-02-01,2,Wednesday,0,1772,11753,6.63,normal,0.9069
Z04_Dwarka_Airport,high,2023-02-01,2,Wednesday,0,1388,10628,7.66,normal,0.9069
Z05_Lajpat_SouthDelhi,medium,2023-02-01,2,Wednesday,0,861,7925,9.2,normal,0.9069
Z06_Rohini_NorthWest,medium,2023-02-01,2,Wednesday,0,714,6091,8.53,normal,0.9069
Z07_Faridabad,low,2023-02-01,2,Wednesday,0,358,2846,7.95,normal,0.9069
Z08_Ghaziabad,low,2023-02-01,2,Wednesday,0,330,2958,8.96,normal,0.9069
Z01_CP_NewDelhi,mega,2023-02-02,2,Thursday,0,3310,28674,8.66,normal,0.9168
Z02_Gurugram_Cyber,mega,2023-02-02,2,Thursday,0,2781,25374,9.12,normal,0.9168
Z03_Noida_Sector18,high,2023-02-02,2,Thursday,0,1681,13187,7.84,normal,0.9168
Z04_Dwarka_Airport,high,2023-02-02,2,Thursday,0,1385,11962,8.64,normal,0.9168
Z05_Lajpat_SouthDelhi,medium,2023-02-02,2,Thursday,0,877,8810,10.05,normal,0.9168
Z06_Rohini_NorthWest,medium,2023-02-02,2,Thursday,0,706,3792,5.37,normal,0.9168
Z07_Faridabad,low,2023-02-02,2,Thursday,0,369,3556,9.64,normal,0.9168
Z08_Ghaziabad,low,2023-02-02,2,Thursday,0,343,2681,7.82,normal,0.9168
Z01_CP_NewDelhi,mega,2023-02-03,2,Friday,0,2802,21045,7.51,Delhi_Winter_Fog_Light,0.7251
Z02_Gurugram_Cyber,mega,2023-02-03,2,Friday,0,2380,20667,8.68,Delhi_Winter_Fog_Light,0.7251
Z03_Noida_Sector18,high,2023-02-03,2,Friday,0,1299,10285,7.92,Delhi_Winter_Fog_Light,0.7251
Z04_Dwarka_Airport,high,2023-02-03,2,Friday,0,1093,7675,7.02,Delhi_Winter_Fog_Light,0.7251
Z05_Lajpat_SouthDelhi,medium,2023-02-03,2,Friday,0,713,6148,8.62,Delhi_Winter_Fog_Light,0.7251
